Nº alertas = 318
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:41817:2] "SERVER-WEBAPP generic SQL select statement possible sql injection" 
 [1:2276:9] "SERVER-WEBAPP oracle portal demo access" 
 [1:25977:3] "POLICY-OTHER Adobe ColdFusion component browser access attempt" 
 [1:21516:9] "SERVER-WEBAPP JBoss JMX console access attempt" 
 [1:59258:1] "POLICY-OTHER Apache ShenYu plugins API access attempt" 
 [1:20663:8] "SERVER-WEBAPP Comet WebFileManager remote file include in CheckUpload.php Language" 
 [1:31360:5] "SERVER-WEBAPP PHP include parameter remote file include attempt" 
 [1:59332:1] "SERVER-WEBAPP Car Rental Management System local file inclusion attempt" 
 [1:20654:8] "SERVER-WEBAPP GrapAgenda remote file include in index.php page" 
 [1:27218:3] "SERVER-WEBAPP Themescript remote file include in CheckUpload.php Language" 
 [1:2295:17] "SERVER-WEBAPP Advanced Poll admin_settings.php access" 
 [1:28912:3] "SERVER-WEBAPP Joomla simple RSS reader admin.rssreader.php remote file include attempt" 
 [1:31637:3] "SERVER-WEBAPP Ad Fundum Integrateable News Script remote include path attempt" 
 [1:20631:6] "SERVER-WEBAPP Akarru remote file include in main_content.php bm_content" 
 [1:20632:8] "SERVER-WEBAPP AnnoncesV annonce.php remote file include attempt" 
 [1:20633:6] "SERVER-WEBAPP Boite de News remote file include in inc.php url_index" 
 [1:27230:3] "SERVER-WEBAPP Pragyan CMS form.lib.php remove file include attempt" 
 [1:31362:3] "SERVER-WEBAPP MiniBB PHP arbitrary remote code execution attempt" 
 [1:28957:3] "SERVER-WEBAPP RSS-aggregator display.php remote file include attempt" 
 [1:27192:5] "SERVER-WEBAPP DM Albums album.php remote file include attempt" 
 [1:20815:7] "SERVER-WEBAPP Vmist Downstat remote file include in chart.php art" 
 [1:16613:6] "INDICATOR-COMPROMISE c99shell.php command request - cmd" 
 [1:27688:5] "SERVER-WEBAPP mxBB MX Faq module_root_path file inclusion attempt" 
 [1:43724:2] "SERVER-WEBAPP FCRing sfuss remote file include attempt" 
 [1:43691:2] "SERVER-WEBAPP Ultimate Fun Book function.php remote file include attempt" 
 [1:20656:8] "SERVER-WEBAPP GestArtremote file include in aide.php3 aide" 
 [1:1671:14] "SERVER-WEBAPP /home/www access" 
 [1:20728:7] "SERVER-WEBAPP WoW Roster remote file include with hslist.php and conf.php attempt" 
 [1:20731:9] "SERVER-WEBAPP TSEP tsep_config absPath parameter PHP remote file include attempt" 
 [1:2363:14] "SERVER-WEBAPP Cyboards default_header.php access" 
 [1:1399:23] "SERVER-WEBAPP PHP-Nuke remote file include attempt" 
 [1:31638:3] "SERVER-WEBAPP Voodoo Chat index.php remote include path attempt" 
 [1:1091:18] "SERVER-WEBAPP ICQ Webfront HTTP DOS" 
 [1:20651:8] "SERVER-WEBAPP Modernbill remote file include in config.php DIR" 
 [1:20826:4] "SERVER-WEBAPP OABoard forum script remote file injection attempt" 
 [1:44133:2] "SERVER-WEBAPP OPENi-CMS Seitenschutz plugin remote file include attempt" 
 [1:2285:14] "SERVER-WEBAPP rolis guestbook access" 
 [1:2140:9] "SERVER-WEBAPP p-news.php access" 
 [1:31419:2] "SERVER-WEBAPP PHPMyAdmin file inclusion arbitrary command execution attempt" 
 [1:2410:14] "SERVER-WEBAPP IGeneric Free Shopping Cart page.php access" 
 [1:886:28] "SERVER-WEBAPP phf access" 
 [1:2281:15] "SERVER-WEBAPP Setup.php access" 
 [1:43392:2] "SERVER-WEBAPP MySQL Commander remote file include attempt" 
 [1:18478:9] "SERVER-WEBAPP miniBB rss.php premodDir remote file include attempt" 
 [1:27284:3] "SERVER-WEBAPP SezHoo remote file include in SezHooTabsAndActions.php" 
 [1:20732:9] "SERVER-WEBAPP Sabdrimer PHP pluginpath remote file include attempt" 
 [1:2288:17] "SERVER-WEBAPP Advanced Poll admin_edit.php access" 
 [1:2298:17] "SERVER-WEBAPP Advanced Poll admin_templates.php access" 
 [1:1254:16] "SERVER-WEBAPP PHPLIB remote command attempt" 
 [1:31568:2] "SERVER-WEBAPP Invsionix Roaming System remote file include attempt" 
 [1:24502:4] "SERVER-WEBAPP TikiWiki tiki-graph_formula.php remote php code execution attempt" 
 [1:23362:4] "SERVER-IIS tilde character file name discovery attempt" 
 [1:22097:7] "SERVER-WEBAPP PHP-CGI command injection attempt" 
 [1:22064:8] "SERVER-WEBAPP PHP-CGI command injection attempt" 
 [1:43285:2] "SERVER-WEBAPP /.svn/entries file access attempt" 
Nº de alertas totales: 9538
Nº alertas = 322
 [1:2002752:4] ET POLICY Reserved Internal IP Traffic 
 [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets 
 [1:2002677:14] ET SCAN Nikto Web App Scan in Progress 
 [1:2101071:7] GPL WEB_SERVER .htpasswd access 
 [1:2101242:13] GPL EXPLOIT ISAPI .ida access 
 [1:2027262:3] ET INFO Dotted Quad Host ZIP Request 
 [1:2016141:5] ET INFO Executable Download from dotted-quad Host 
 [1:2003595:5] ET POLICY exe download via HTTP - Informational 
 [1:2101129:7] GPL WEB_SERVER .htaccess access 
 [1:2100987:16] GPL EXPLOIT .htr access 
 [1:2027265:4] ET INFO Dotted Quad Host PDF Request 
 [1:2027250:3] ET INFO Dotted Quad Host DLL Request 
 [1:2018752:11] ET INFO Generic .bin download from Dotted Quad 
 [1:2027263:3] ET INFO Dotted Quad Host GZ Request 
 [1:2009885:3] ET SCAN Unusually Fast 404 Error Messages (Page Not Found), Possible Web Application Scan/Directory Guessing Attack 
 [1:2101245:12] GPL EXPLOIT ISAPI .idq access 
 [1:2100971:12] GPL WEB_SERVER ISAPI .printer access 
 [1:2027253:3] ET INFO Dotted Quad Host XLS Request 
 [1:2101852:5] GPL WEB_SERVER robots.txt access 
 [1:2101145:9] GPL WEB_SERVER /~root access 
 [1:2010767:9] ET POLICY TRACE Request - outbound 
 [1:2010766:9] ET POLICY Proxy TRACE Request - inbound 
 [1:2102056:6] GPL WEB_SERVER TRACE attempt 
 [1:2101288:11] GPL WEB_SERVER /_vti_bin/ access 
 [1:2101738:7] GPL WEB_SERVER global.inc access 
 [1:2009151:7] ET WEB_SERVER PHP Generic Remote File Include Attempt (HTTP) 
 [1:2001343:22] ET WEB_SERVER IIS ASP.net Auth Bypass / Canonicalization % 5 C 
 [1:2100993:12] GPL WEB_SERVER iisadmin access 
 [1:2101256:10] GPL EXPLOIT CodeRed v2 root.exe access 
 [1:2003099:7] ET WEB_SERVER Poison Null Byte 
 [1:2101016:14] GPL WEB_SERVER global.asa access 
 [1:2019714:8] ET CURRENT_EVENTS Terse alphanumeric executable downloader high likelihood of being hostile 
 [1:2101402:8] GPL EXPLOIT iissamples access 
 [1:2014379:2] ET POLICY HTTP GET invalid method case outbound 
 [1:2011031:7] ET SCAN HTTP GET invalid method case 
 [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI 
 [1:2009362:6] ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt 
 [1:2009361:6] ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt 
 [1:2101002:9] GPL DELETED cmd.exe access 
 [1:2101945:7] GPL WEB_SERVER unicode directory traversal attempt 
 [1:2101401:10] GPL EXPLOIT /msadc/samples/ access 
 [1:2101829:7] GPL DELETED Tomcat TroubleShooter servlet access 
 [1:2012911:1] ET POLICY URL Contains password Parameter 
 [1:2030337:2] ET EXPLOIT VMware Spring Cloud Directory Traversal (CVE-2020-5410) 
 [1:2101244:16] GPL EXPLOIT ISAPI .idq attempt 
 [1:2101122:8] GPL WEB_SERVER /etc/passwd 
 [1:2100988:8] GPL WEB_SERVER SAM Attempt 
 [1:2049401:1] ET WEB_SERVER /etc/hosts Detected in URI 
 [1:2001949:10] ET WEB_SPECIFIC_APPS Athena Web Registration Remote Command Execution Attempt 
 [1:2012913:1] ET POLICY URL Contains pass Parameter 
 [1:2011042:3] ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt 
 [1:2010963:4] ET WEB_SERVER SELECT USER SQL Injection Attempt in URI 
 [1:2006609:8] ET WEB_SPECIFIC_APPS iWare Professional SQL Injection Attempt -- index.php D SELECT 
 [1:2006445:12] ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM 
 [1:2011040:3] ET WEB_SERVER Possible Usage of MYSQL Comments in URI for SQL Injection 
 [1:2009714:9] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt 
 [1:2001218:12] ET WEB_SPECIFIC_APPS PHPNuke general XSS attempt 
 [1:2101827:9] GPL DELETED Tomcat servlet mapping cross site scripting attempt 
 [1:2004589:5] ET WEB_SPECIFIC_APPS PsychoStats XSS Attempt -- register.php 
 [1:2019526:5] ET WEB_SERVER WEB-PHP phpinfo access 
 [1:2004592:6] ET WEB_SPECIFIC_APPS Jelsoft vBulletin XSS Attempt -- calendar.php 
 [1:2101877:9] GPL WEB_SERVER printenv access 
 [1:2101108:12] GPL WEB_SERVER Tomcat server snoop access 
 [1:2100915:7] GPL DELETED evaluate.cfm access 
 [1:2016184:3] ET WEB_SERVER ColdFusion administrator access 
 [1:2009001:4] ET POLICY Login Credentials Possibly Passed in URI 
 [1:2020296:1] ET TROJAN Scieron Retrieving Information 
 [1:2002731:9] ET WEB_SPECIFIC_APPS Generic phpbb arbitrary command attempt 
 [1:2100937:12] GPL WEB_SERVER _vti_rpc access 
 [1:2100952:8] GPL WEB_SERVER author.exe access 
 [1:2100977:15] GPL EXPLOIT .cnf access 
 [1:2100958:11] GPL WEB_SERVER service.cnf access 
 [1:2100961:11] GPL WEB_SERVER services.cnf access 
 [1:2100965:11] GPL WEB_SERVER writeto.cnf access 
 [1:2101847:11] GPL WEB_SERVER webalizer access 
 [1:2101111:12] GPL EXPLOIT Tomcat server exploit access 
 [1:2011141:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (phpinfo) 
 [1:2011144:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (funny-logo) 
 [1:2011142:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (php-logo) 
 [1:2011143:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (zend-logo) 
 [1:2002070:9] ET WEB_SPECIFIC_APPS phpBB Remote Code Execution Attempt 
 [1:2021390:1] ET WEB_SPECIFIC_APPS WEB-PHP RCE PHPBB 2004-1315 
 [1:2101201:12] GPL WEB_SERVER 403 Forbidden 
 [1:2101013:11] GPL EXPLOIT fpcount access 
 [1:2101193:12] GPL WEB_SPECIFIC_APPS oracle web arbitrary command execution attempt 
 [1:2101023:13] GPL WEB_SERVER msadcs.dll access 
 [1:2101487:12] GPL EXPLOIT /iisadmpwd/aexp2.htr access 
 [1:2101018:12] GPL EXPLOIT iisadmpwd attempt 
 [1:2101372:7] GPL DELETED /etc/shadow access 
 [1:2009485:7] ET WEB_SERVER /etc/shadow Detected in URI 
 [1:2009884:3] ET SCAN Unusually Fast 400 Error Messages (Bad Request), Possible Web Application Scan 
 [1:2102073:5] GPL WEB_SERVER globals.pl access 
 [1:2102131:4] GPL WEB_SERVER IISProtect access 
 [1:2049402:1] ET WEB_SERVER .bash_history Detected in URI 
 [1:2101156:11] GPL WEB_SERVER apache directory disclosure attempt 
 [1:2101874:4] GPL WEB_SERVER Oracle Java Process Manager access 
 [1:2100953:9] GPL EXPLOIT administrators.pwd access 
 [1:2100951:12] GPL WEB_SERVER authors.pwd access 
 [1:2100959:8] GPL WEB_SERVER service.pwd 
 [1:2101110:11] GPL WEB_SERVER apache source.asp file access 
 [1:2101489:10] GPL WEB_SERVER /~nobody access 
 [1:2100981:14] GPL EXPLOIT unicode directory traversal attempt 
 [1:2100982:12] GPL EXPLOIT unicode directory traversal attempt 
 [1:2101403:11] GPL WEB_SERVER viewcode access 
 [1:2101332:7] GPL WEB_SERVER /usr/bin/id command attempt 
 [1:2002133:11] ET WEB_SERVER Oracle Reports OS Command Injection Attempt 
 [1:2016182:4] ET WEB_SERVER ColdFusion componentutils access 
 [1:2011696:3] ET WEB_SPECIFIC_APPS Possible JBoss JMX Console Beanshell Deployer WAR Upload and Deployment Exploit Attempt 
 [1:2010377:4] ET POLICY JBOSS/JMX port 80 access from outside 
 [1:2009435:4] ET WEB_SPECIFIC_APPS e107 123 FlashChat Module 123flashchat.php e107path Parameter Remote File Inclusion 
 [1:2003670:7] ET WEB_SPECIFIC_APPS Workbench Survival Guide Remote Inclusion Attempt -- headerfile.php path 
 [1:2011564:2] ET WEB_SPECIFIC_APPS PHP Classifieds class.phpmailer.php lang_path Parameter Remote File Inclusion Attempt 
 [1:2009167:4] ET WEB_SPECIFIC_APPS AdaptCMS Lite rss_importer_functions.php sitepath Parameter Remote File Inclusion 
 [1:2010095:4] ET WEB_SPECIFIC_APPS PHPGenealogy CoupleDB.php DataDirectory Parameter Remote File Inclusion 
 [1:2009317:4] ET WEB_SPECIFIC_APPS DesktopOnNet don3_requiem.php app_path Parameter Remote File Inclusion 
 [1:2009318:4] ET WEB_SPECIFIC_APPS DesktopOnNet frontpage.php app_path Parameter Remote File Inclusion 
 [1:2003740:7] ET WEB_SPECIFIC_APPS PHPFirstPost Remote Inclusion Attempt block.php Include 
 [1:2009397:4] ET WEB_SPECIFIC_APPS phpProfiles body_comm.inc.php content parameter remote file inclusion 
 [1:2002681:11] ET WEB_SPECIFIC_APPS Mambo Exploit 
 [1:2010920:10] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) 
 [1:2009931:4] ET WEB_SPECIFIC_APPS Possible OpenSiteAdmin pageHeader.php Remote File Inclusion Attempt 
 [1:2009848:4] ET WEB_SPECIFIC_APPS Dragoon header.inc.php root Parameter Remote File Inclusion 
 [1:2009321:4] ET WEB_SPECIFIC_APPS rgboard footer.php _path parameter remote file inclusion 
 [1:2010475:3] ET WEB_SPECIFIC_APPS KR-Web krgourl.php DOCUMENT_ROOT Parameter Remote File Inclusion Attempt 
 [1:2009311:4] ET WEB_SPECIFIC_APPS WeBid ST_countries.php include_path Parameter Remote File Inclusion 
 [1:2009313:4] ET WEB_SPECIFIC_APPS WeBid ST_platforms.php include_path Parameter Remote File Inclusion 
 [1:2012795:2] ET WEB_SPECIFIC_APPS Golem Gaming Portal root_path Parameter Remote File inclusion Attempt 
 [1:2009382:4] ET WEB_SPECIFIC_APPS Agares Media ThemeSiteScript frontpage_right.php Remote File Inclusion 
 [1:2009367:4] ET WEB_SPECIFIC_APPS cmsWorks lib.module.php mod_root Parameter Remote File Inclusion 
 [1:2009757:4] ET WEB_SPECIFIC_APPS Clickheat Cache.php mosConfig_absolute_path Remote File Inclusion 
 [1:2009758:4] ET WEB_SPECIFIC_APPS Clickheat Clickheat_Heatmap.php mosConfig_absolute_path Remote File Inclusion 
 [1:2009759:4] ET WEB_SPECIFIC_APPS Clickheat GlobalVariables.php mosConfig_absolute_path Remote File Inclusion - 1 
 [1:2009755:4] ET WEB_SPECIFIC_APPS Clickheat _main.php mosConfig_absolute_path Parameter Remote File Inclusion - 1 
 [1:2009756:4] ET WEB_SPECIFIC_APPS Clickheat main.php mosConfig_absolute_path Parameter Remote File Inclusion - 2 
 [1:2009760:4] ET WEB_SPECIFIC_APPS Clickheat main.php mosConfig_absolute_path Parameter Remote File Inclusion -2 
 [1:2009754:4] ET WEB_SPECIFIC_APPS Clickheat install.clickheat.php mosConfig_absolute_path Remote File Inclusion 
 [1:2009466:4] ET WEB_SPECIFIC_APPS Recly Competitions Component add.php GLOBALS Parameter Remote File Inclusion 
 [1:2009467:4] ET WEB_SPECIFIC_APPS Recly Competitions Component competitions.php GLOBALS Parameter Remote File Inclusion 
 [1:2009468:4] ET WEB_SPECIFIC_APPS Recly Competitions Component settings.php mosConfig_absolute_path Parameter Remote File Inclusion 
 [1:2009384:5] ET WEB_SPECIFIC_APPS Joomla Dada Mail Manager Component config.dadamail.php GLOBALS Parameter Remote File Inclusion 
 [1:2009059:4] ET WEB_SPECIFIC_APPS Recly Feederator add_tmsp.php mosConfig_absolute_path parameter remote file inclusion 
 [1:2009060:4] ET WEB_SPECIFIC_APPS Recly Feederator edit_tmsp.php mosConfig_absolute_path parameter remote file inclusion 
 [1:2009061:5] ET WEB_SPECIFIC_APPS Recly Feederator subscription.php GLOBALS mosConfig_absolute_path parameter remote file inclusion 
 [1:2009062:4] ET WEB_SPECIFIC_APPS Recly Feederator tmsp.php mosConfig_absolute_path parameter remote file inclusion 
 [1:2009877:4] ET WEB_SPECIFIC_APPS VirtueMart Google Base Component admin.googlebase.php Remote File Inclusion 
 [1:2009391:5] ET WEB_SPECIFIC_APPS Joomla Onguma Time Sheet Component onguma.class.php mosConfig_absolute_path Parameter Remote File Inclusion 
 [1:2009369:5] ET WEB_SPECIFIC_APPS Joomla Simple RSS Reader admin.rssreader.php mosConfig_live_site Parameter Remote File Inclusion 
 [1:2012369:2] ET WEB_SPECIFIC_APPS Joomla swMenuPro ImageManager.php Remote File Inclusion Attempt 
 [1:2002879:7] ET WEB_SPECIFIC_APPS PHP phpMyAgenda rootagenda Remote File Include Attempt 
 [1:2010485:3] ET WEB_SPECIFIC_APPS phptraverse mp3_id.php GLOBALS Parameter Remote File Inclusion Attempt 
 [1:2008897:5] ET WEB_SPECIFIC_APPS MODx CMS snippet.reflect.php reflect_base Remote File Inclusion 
 [1:2009871:4] ET WEB_SPECIFIC_APPS PHPauction GPL converter.inc.php include_path Parameter Remote File Inclusion 
 [1:2009872:4] ET WEB_SPECIFIC_APPS PHPauction GPL messages.inc.php include_path Parameter Remote File Inclusion 
 [1:2009873:4] ET WEB_SPECIFIC_APPS PHPauction GPL settings.inc.php include_path Parameter Remote File Inclusion 
 [1:2009196:4] ET WEB_SPECIFIC_APPS Basebuilder main.inc.php mj_config Parameter Remote File inclusion 
 [1:2003738:5] ET WEB_SPECIFIC_APPS Beacon Remote Inclusion Attempt -- splash.lang.php languagePath 
 [1:2010099:4] ET WEB_SPECIFIC_APPS News Manager ch_readalso.php read_xml_include Parameter Remote File Inclusion 
 [1:2003699:7] ET WEB_SPECIFIC_APPS pfa CMS Remote Inclusion checkout.php abs_path 
 [1:2017442:1] ET WEB_SERVER PHP ENV SuperGlobal in URI 
 [1:2009459:4] ET WEB_SPECIFIC_APPS Orlando CMS classes init.php GLOBALS Parameter Remote File Inclusion 
 [1:2009898:4] ET WEB_SPECIFIC_APPS Pragyan CMS form.lib.php sourceFolder Parameter Remote File Inclusion 
 [1:2009166:5] ET WEB_SPECIFIC_APPS Concord Consortium CoAST header.php sections_file parameter remote file inclusion 
 [1:2003677:5] ET WEB_SPECIFIC_APPS Berylium2 Remote Inclusion Attempt -- berylium-classes.php beryliumroot 
 [1:2003682:7] ET WEB_SPECIFIC_APPS E-Gads Remote Inclusion Attempt -- common.php locale 
 [1:2003704:5] ET WEB_SPECIFIC_APPS AForum Remote Inclusion func.php CommonAbsDir 
 [1:2010260:3] ET WEB_SPECIFIC_APPS Joomla AjaxChat Component ajcuser.php GLOBALS Parameter Remote File Inclusion Attempt 
 [1:2009933:4] ET WEB_SPECIFIC_APPS Possible Mambo/Joomla! com_koesubmit Component 'koesubmit.php' Remote File Inclusion Attempt 
 [1:2012013:2] ET WEB_SPECIFIC_APPS Mambo Component com_smf smf.php Remote File Inclusion Attempt 
 [1:2008826:4] ET WEB_SPECIFIC_APPS Way Of The Warrior crea.php plancia Remote File Inclusion 
 [1:2009307:4] ET WEB_SPECIFIC_APPS WeBid cron.php include_path Parameter Remote File Inclusion 
 [1:2009051:4] ET WEB_SPECIFIC_APPS PHPOF DB_AdoDB.Class.PHP PHPOF_INCLUDE_PATH parameter Remote File Inclusion 
 [1:2010354:3] ET WEB_SPECIFIC_APPS Achievo debugger.php config_atkroot parameter Remote File Inclusion Attempt 
 [1:2002815:8] ET WEB_SPECIFIC_APPS Plume CMS prepend.php Remote File Inclusion attempt 
 [1:2009788:4] ET WEB_SPECIFIC_APPS RSS-aggregator display.php path Parameter Remote File Inclusion 
 [1:2010027:4] ET WEB_SPECIFIC_APPS DM Albums album.php SECURITY_FILE Parameter Remote File Inclusion 
 [1:2003678:7] ET WEB_SPECIFIC_APPS Tropicalm Remote Inclusion Attempt -- dosearch.php RESPATH 
 [1:2003679:7] ET WEB_SPECIFIC_APPS DynamicPAD Remote Inclusion Attempt -- dp_logs.php HomeDir 
 [1:2009225:4] ET WEB_SPECIFIC_APPS ea-gBook index_inc.php inc_ordner parameter remote file inclusion 
 [1:2010252:3] ET WEB_SPECIFIC_APPS Datalife Engine api.class.php dle_config_api Parameter Remote File Inclusion 
 [1:2008833:4] ET WEB_SPECIFIC_APPS Enthusiast path parameter Remote File Inclusion 
 [1:2010355:3] ET WEB_SPECIFIC_APPS OBOphiX fonctions_racine.php chemin_lib parameter Remote File Inclusion Attempt 
 [1:2009793:4] ET WEB_SPECIFIC_APPS PHP Crawler footer.php footer_file Parameter Remote File Inclusion 
 [1:2003731:7] ET WEB_SPECIFIC_APPS PHPLojaFacil Remote Inclusion Attempt -- ftp.php path_local 
 [1:2009163:4] ET WEB_SPECIFIC_APPS GBook header.php abspath Parameter Remote File Inclusion 
 [1:2003688:7] ET WEB_SPECIFIC_APPS TurnKeyWebTools Remote Inclusion Attempt -- global.php abs_path 
 [1:2003696:7] ET WEB_SPECIFIC_APPS Wikivi5 Remote Inclusion Attempt -- show.php sous_rep 
 [1:2009892:4] ET WEB_SPECIFIC_APPS PHP-Paid4Mail RFI attempt 
 [1:2009398:4] ET WEB_SPECIFIC_APPS HoMaP plugin_admin.php _settings Parameter Remote File Inclusion 
 [1:2002800:7] ET WEB_SPECIFIC_APPS PHP PHPNuke Remote File Inclusion Attempt 
 [1:2003703:8] ET WEB_SPECIFIC_APPS phpMyPortal Remote Inclusion Attempt -- articles.inc.php GLOBALS CHEMINMODULES 
 [1:2100884:16] GPL EXPLOIT formmail access 
 [1:2003729:7] ET WEB_SPECIFIC_APPS CGX Remote Inclusion Attempt -- login.php pathCGX 
 [1:2003728:7] ET WEB_SPECIFIC_APPS CGX Remote Inclusion Attempt -- logingecon.php pathCGX 
 [1:2003727:7] ET WEB_SPECIFIC_APPS CGX Remote Inclusion Attempt -- ltdialogo.php pathCGX 
 [1:2003726:7] ET WEB_SPECIFIC_APPS CGX Remote Inclusion Attempt -- mtdialogo.php pathCGX 
 [1:2009316:4] ET WEB_SPECIFIC_APPS YapBB class_yapbbcooker.php cfgIncludeDirectory Parameter Remote File Inclusion 
 [1:2009101:4] ET WEB_SPECIFIC_APPS REALTOR define.php Remote File Inclusion 
 [1:2010197:3] ET WEB_SPECIFIC_APPS KingCMS menu.php CONFIG Parameter Remote File Inclusion 
 [1:2008904:4] ET WEB_SPECIFIC_APPS ModernBill nettools.popup.php DIR Parameter Remote File Inclusion 
 [1:2008903:4] ET WEB_SPECIFIC_APPS ModernBill 2checkout_return.inc.php DIR Parameter Remote File Inclusion 
 [1:2010276:3] ET WEB_SPECIFIC_APPS ProdLer prodler.class.php sPath Parameter Remote File Inclusion Attempt 
 [1:2008900:4] ET WEB_SPECIFIC_APPS ModernBill export_batch.inc.php DIR Parameter Remote File Inclusion 
 [1:2008901:4] ET WEB_SPECIFIC_APPS ModernBill run_auto_suspend.cron.php DIR Parameter Remote File Inclusion 
 [1:2008902:4] ET WEB_SPECIFIC_APPS ModernBill send_email_cache.php DIR Parameter Remote File Inclusion 
 [1:2010126:3] ET WEB_SPECIFIC_APPS Ultrize TimeSheet timesheet.php include_dir Parameter Remote File Inclusion 
 [1:2003671:7] ET WEB_SPECIFIC_APPS Versado CMS Remote Inclusion Attempt -- ajax_listado.php urlModulo 
 [1:2010466:3] ET WEB_SPECIFIC_APPS PointComma pctemplate.php pcConfig Parameter Remote File Inclusion Attempt 
 [1:2003739:7] ET WEB_SPECIFIC_APPS Yaap Remote Inclusion Attempt -- common.php root_path 
 [1:2003333:6] ET WEB_SPECIFIC_APPS PHP Gnopaster Common.php remote file include 
 [1:2008922:4] ET WEB_SPECIFIC_APPS Nitrotech common.php root Parameter Remote File Inclusion 
 [1:2009427:4] ET WEB_SPECIFIC_APPS Grape Web Statistics functions.php location Parameter Remote File Inclusion 
 [1:2002902:7] ET WEB_SPECIFIC_APPS PHP VWar Remote File Inclusion functions_install.php 
 [1:2008871:4] ET WEB_SPECIFIC_APPS phpFan init.php Remote File Inclusion 
 [1:2003680:7] ET WEB_SPECIFIC_APPS DynamicPAD Remote Inclusion Attempt -- index.php HomeDir 
 [1:2017441:1] ET WEB_SERVER PHP REQUEST SuperGlobal in URI 
 [1:2003698:7] ET WEB_SPECIFIC_APPS pfa CMS Remote Inclusion index.php abs_path 
 [1:2003701:7] ET WEB_SPECIFIC_APPS pfa CMS Remote Inclusion index.php repinc 
 [1:2008879:4] ET WEB_SPECIFIC_APPS Free Directory Script 1.1.1 API_HOME_DIR parameter Remote File Inclusion 
 [1:2010362:3] ET WEB_SPECIFIC_APPS AjaxPortal di.php pathtoserverdata Parameter Remote File Inclusion Attempt 
 [1:2009381:4] ET WEB_SPECIFIC_APPS Interact embedforum.php Remote File Inclusion 
 [1:2009386:4] ET WEB_SPECIFIC_APPS Interact lib.inc.php Remote File Inclusion 
 [1:2010473:4] ET WEB_SPECIFIC_APPS p-Table for WordPress wptable-tinymce.php ABSPATH Parameter RFI Attempt 
 [1:2009188:4] ET WEB_SPECIFIC_APPS gapicms toolbar.php dirDepth Parameter Remote File Inclusion 
 [1:2009903:4] ET WEB_SPECIFIC_APPS AdaptBB latestposts.php forumspath Parameter Remote File Inclusion 
 [1:2008899:6] ET WEB_SPECIFIC_APPS Pie RSS module lib parameter remote file inclusion 
 [1:2009180:4] ET WEB_SPECIFIC_APPS SnippetMaster pcltar.lib.php g_pcltar_lib_dir Parameter Remote File Inclusion 
 [1:2003737:7] ET WEB_SPECIFIC_APPS CJG Explorer Remote Inclusion Attempt -- pcltrace.lib.php g_pcltar_lib_dir 
 [1:2003717:7] ET WEB_SPECIFIC_APPS miplex2 Remote Inclusion SmartyFU.class.php system 
 [1:2003517:7] ET WEB_SPECIFIC_APPS iPhotoAlbum header.php remote file include 
 [1:2009932:4] ET WEB_SPECIFIC_APPS Possible eFront database.php Remote File Inclusion Attempt 
 [1:2011274:4] ET WEB_SPECIFIC_APPS OpenX phpAdsNew phpAds_geoPlugin Parameter Remote File Inclusion Attempt 
 [1:2003732:7] ET WEB_SPECIFIC_APPS PHPLojaFacil Remote Inclusion Attempt -- db.php path_local 
 [1:2003733:7] ET WEB_SPECIFIC_APPS PHPLojaFacil Remote Inclusion Attempt -- libs_ftp.php path_local 
 [1:2003718:7] ET WEB_SPECIFIC_APPS gnuedu Remote Inclusion Attempt -- lom.php ETCDIR 
 [1:2003700:7] ET WEB_SPECIFIC_APPS pfa CMS Remote Inclusion libsecure.php abs_path 
 [1:2003689:7] ET WEB_SPECIFIC_APPS TurnKeyWebTools Remote Inclusion Attempt -- libsecure.php abs_path 
 [1:2009364:4] ET WEB_SPECIFIC_APPS Beerwins PHPLinkAdmin linkadmin.php page Parameter Remote File Inclusion 
 [1:2010124:3] ET WEB_SPECIFIC_APPS SERWeb load_lang.php configdir Parameter Remote File Inclusion 
 [1:2010564:3] ET WEB_SPECIFIC_APPS Sisplet CMS komentar.php site_path Parameter Remote File Inclusion Attempt 
 [1:2010125:3] ET WEB_SPECIFIC_APPS SERWeb main_prepend.php functionsdir Parameter Remote File Inclusion 
 [1:2002996:8] ET WEB_SPECIFIC_APPS GeekLog Remote File Include Vulnerability 
 [1:2003331:6] ET WEB_SPECIFIC_APPS PHP Generic membreManager.php remote file include 
 [1:2011384:3] ET WEB_SPECIFIC_APPS MAXcms fm_includes_special Parameter Remote File Inclusion Attempt 
 [1:2011259:4] ET WEB_SPECIFIC_APPS MAXcms fm_includes_special Parameter Remote File Inclusion Attempt 
